ingredientes,link,nome,porcoes,preparo,tempo_preparo
"4 e 1/3 xícaras de chá de farinha de trigo (cerca de 520 gramas),1 colher de chá de sal,1 xícara de chá de água morna (240 ml),2 colheres de sopa de óleo,50 ml de cachaça,150 gramas de mussarela ralada,150 gramas de presunto ralado,1/2 bisnaga de requeijão cremoso ou Catupiry,1/3 de xícara de chá de milho (50 gramas),1 xícara de chá de batata palha Caldo Bom",https://www.receiteria.com.br/receita/pastel-com-recheio-de-queijo-e-batata-palha/,Pastel com recheio de queijo e batata palha , 20 unidades,"
Reúna os ingredientes para fazer o pastel com recheio de queijo e batata palha, um lanche completo e saboroso; ,
Em um recipiente grande, adicione quase toda a farinha (reserve aproximadamente 1 xícara para polvilhar) e o sal. Misture com uma espátula; ,
Acrescente a água morna, o óleo e a cachaça. Misture novamente até formar uma massa pesada; ,
Em uma superfície lisa e higienizada, utilize a farinha separada para polvilhar. Transfira a massa para a mesa ou bancada e salpique um pouco mais de farinha por cima da massa. Sove por cerca de 10 minutos ou até ela ficar lisinha; ,
Molde a massa em uma bola, coloque-a em um saquinho para alimento (ou enrole no plástico-filme) e reserve por cerca de 30 minutos; ,
Após esse tempo, divida a massa na metade. Abra umas delas com um pouquinho de farinha por cima (para não grudar no rolo). Enfarinhe o rolo e faça movimento para frente e para trás, de um lado para o outro. A massa precisa ficar fina, mas não deve ficar translúcida; ,
Quando a massa ficar no formato retangular, corte ela em quadradinhos do tamanho que desejar. Coloque o recheio de queijo, presunto, Catupiry, milho e batata palha. Posicione um pouco mais para frente, com o tanto suficiente da massa para virar e fechar; ,
Segure as bordas e feche os pastéis no formato retangular. Utilize um garfo para apertar as bordas, para ele não abrir na fritura. Assim que terminar de rechear uma metade da massa, repita o processo com a outra metade; ,
Sirva esse pastel no seu café da tarde e aproveite um preparo delicioso. Bom apetite! ", 60min
"2,5 kg de abóbora cortada em cubos,800 g de açúcar,1 colher de sopa de canela,1 pacote de coco ralado,100 g de leite em pó,1 caixinha de creme de leite",https://www.receiteria.com.br/receita/doce-de-abobora-cremoso-com-coco/,Doce de abóbora cremoso com coco , 10 porções,"
Reúna todos os ingredientes; ,
Leve uma panela grande ao fogo, coloque as abóboras e o açúcar, tampe, e deixe cozinhar por cerca de 20 a 30 minutos; ,
Junte a canela, o coco ralado, o leite em pó, mexa, e deixe cozinhar por mais 5 minutos; ,
Adicione o creme de leite, misture, desligue o fogo, espere o doce esfriar, ou então sirva-o quente. Bom apetite! ", 40min
"1 kg de abóbora de pescoço descascada,2 xícaras de chá de açúcar cristal ou demerara (400 gramas),5 cravos-da-índia,1 canela em pau",https://www.receiteria.com.br/receita/doce-de-abobora/,Doce de abóbora , 400 gramas,"
Reúna os ingredientes para fazer o mais tradicional doce de abóbora, feito para acompanhar o pão ou torrada no início da manhã, ou no meio da tarde; ,
Em uma tábua, corte as cascas da abóbora de pescoço. Apoie-a na base e fatie as cascas, tentando retirar o menos possível da abóbora e mais do exterior do legume; ,
Divida a abóbora ao meio e corte-a em tiras de cerca de 1,5 cm. Em seguida, corte essas tiras em cubos pequenos para facilitar o cozimento e torná-lo mais uniforme; ,
Transfira os cubos de abóbora para uma panela grande, adicione o açúcar, os cravos e a canela em pau. Ligue o fogo baixo e deixe cozinhar por cerca de 30 minutos; ,
Após os primeiros 30 minutos, será necessário cozinhar a abóbora por mais 30 a 40 minutos, mexendo de vez em quando para não queimar e até dar o ponto da pasta; ,
Não é necessário diminuir todo o líquido do doce, continue mexendo e, quando restar um pouquinho da calda, desligue o fogo. Transfira em uma travessa ou pote esterilizado e espere esfriar. Sirva esse doce de abóbora como sobremesa ou acompanhado de uma fatia de queijo branco. Bom apetite! ", 50min
"3 ovos,1 colher de sopa de manteiga em temperatura ambiente,1 caixa de leite condensado (395 gramas),1 pacote de coco seco ralado (100 gramas),1/2 xícara de chá de queijo parmesão ralado",https://www.receiteria.com.br/receita/queijadinha/,Queijadinha , 12 unidades,"
Reúna todos os ingredientes; ,
Em um recipiente, coloque os ovos, a manteiga e bata, usando um fouet, até ficar bem homogêneo; ,
Acrescente o leite condensado e misture novamente; ,
Em seguida, incorpore o coco ralado e o queijo na massa; ,
Forre forminhas de empadinha com forminhas para queijadinha, de papel; ,
Despeje a massa nas forminhas, até que ultrapasse pouco mais da metade dos recipientes, e leve ao forno preaquecido a 180 ºC por 30 minutos ou até que o topo esteja bem dourado; ,
Retire as forminhas de papel das forminhas de empada e transfira para uma grade, para não criar umidade e molhar o papel; ,
Está pronto! Sirva e aproveite essa delícia. ", 30min
"2 latinhas de milho em conserva sem a água (400 gramas),3 ovos,1 e 1/2 xícara de chá de leite,1 xícara de chá de açúcar,1/2 xícara de chá de manteiga sem sal,50 gramas de queijo parmesão ralado,1/3 xícara de chá de fubá fino,1 colher de sopa de fermento químico em pó (fermento para bolo)",https://www.receiteria.com.br/receita/pamonha-na-travessa/,Pamonha na travessa , 8 a 10 porções,"
Reúna todos os ingredientes; ,
Em um liquidificador, coloque o milho, os ovos e o leite; ,
Bata muito bem, por cerca de 5 minutos, até formar uma massa homogênea; ,
Em seguida, acrescente o açúcar, a manteiga, o queijo, o fubá e o fermento no liquidificador. Bata novamente; ,
Feito isso, unte uma travessa com um pouco de manteiga e fubá fino; ,
Depois, despeje a massa na travessa e leve ao forno preaquecido a 170 ºC, deixe por cerca de 50 minutos; ,
Está pronta! Sirva essa pamonha deliciosa e aproveite. ", 60min
"6 espigas de milho bem amarelas,1/2 xícara de chá de leite (ou água),1 xícara de chá de açúcar,Sal a gosto,1/2 xícara de chá de coco ralado fresco,2 colheres de sopa de manteiga derretida,Palha do milho para embalar,Barbante, a palha do próprio milho ou elástico culinário para amarrar",https://www.receiteria.com.br/receita/pamonha-doce-de-milho/,Pamonha doce de milho , 8 unidades,"
Reúna todos os ingredientes; ,
Corte as pontas mais grossas do milho e retire as palhas com cuidado para não rasgar; ,
Transfira as palhas para uma panela com água fervendo e deixe elas cozinharem por cerca de 15 minutos; ,
Descarte a água, seque bem as palhas, individualmente, e reserve; ,
Higienize as espigas e retire todo o cabelinho delas; ,
Com cuidado, retire todo o milho das espigas, coloque no liquidificador e bata até ficar bem homogêneo e liso; ,
Adicione o leite e bata até incorporar e ficar consistente; ,
Despeje em um recipiente grande, acrescente o açúcar, o sal, o coco ralado, a manteiga e misture bem até incorporar. Reserve; ,
Pegue uma palha. Você verá que ela tem o formato parecido com um triângulo. Com a ponta do triângulo para baixo, encontre as duas outras pontas, formando um cone. Dobre a ponta para cima, de modo que ela alcance a boca do copinho formado; ,
Delicadamente, despeje um pouco da pamonha no cone de palha. Deixe cerca de dois dedos livres de líquido, para não vazar; ,
Pegue outra palha, vire ela ao contrário, com a parte mais larga para baixo, e cubra a pamonha, envolvendo-a por inteiro; ,
Pegue mais uma palha, também ao contrário, e envolva ela novamente, mas começando pela lateral oposta. Dobre a ponta maior e amarre o pacotinho formado com um barbante. Repita o processo até acabar as palhas e o líquido; ,
Em uma panela grande com água fervente, cozinhe as pamonhas por cerca de 40 minutos; ,
Agora é só servir. Bom apetite! ", 60min
"5 espigas de milho,1 xícara de chá de leite, 1 colher de sopa de manteiga, 1 xícara de chá de açúcar ,Uma pitada de sal",https://www.receiteria.com.br/receita/pamonha-doce-assada/,Pamonha doce assada , 8 porções,"
Reúna todos os ingredientes; ,
Retire os grãos das espigas e transfira para um liquidificador; ,
Adicione o leite, a manteiga, o açúcar, o sal e bata até o milho dissolver bem; ,
Em uma forma redonda, com furo no meio, untada com manteiga, despeje a mistura e tampe com papel alumínio (ou com uma assadeira redonda); ,
Transfira a forma para uma assadeira média, coloque água (cerca de 2 dedos) e leve ao forno preaquecido a 180 ºC por cerca de 1 hora; ,
Remova o papel alumínio e deixe mais 30 minutos no forno; ,
Deixe descansar 5 minutos e, com cuidado, desenforme; ,
Agora é só servir. ", 105min
"300 gramas de farinha flocada de milho,100 ml de leite de coco,120 ml de água,1 colher de sopa de açúcar,1/2 colher de chá de sal,100 gramas de coco ralado (opcional)",https://www.receiteria.com.br/receita/cuscuz-com-leite-de-coco/,Cuscuz com leite de coco , 2 porções,"
Reúna todos os ingredientes; ,
Em uma tigela, misture a farinha de milho, o açúcar, o coco ralado e o sal; ,
Em outro recipiente menor, misture o leite de coco e a água; ,
Gradualmente vá adicionando a mistura de leite de coco e água nos ingredientes secos; ,
Misture até ficar uma farofa úmida, mas não muito molhada. Deixe descansar por 10 minutos; ,
Enquanto isso, coloque água até a metade da parte inferior do cuscuzeiro e leve-o ao fogo para ferver; ,
Coloque a massa do cuscuz na parte de cima do cuscuzeiro, nivelando a superfície sem apertar (ela precisa ficar soltinha para o vapor circular e completar o cozimento). Tampe e cozinhe em fogo baixo por 10 a 15 minutos; ,
Está pronto! Sirva quente e regado com leite de coco. ", 25min
"10 maçãs,10 palitos de sorvete,500 gramas de açúcar,250 ml de água,1 colher de sopa de corante em pó cor vermelho,1 colher de sopa de vinagre branco (maçã ou álcool)",https://www.receiteria.com.br/receita/maca-do-amor/,Maçã do amor , 10 porções,"
Reúna todos os ingredientes; ,
Higienize as maçãs, seque elas, espete os palitos de sorvete em cada e reserve; ,
Em uma panela de fundo grosso, coloque o açúcar, a água, o corante, o vinagre, misture delicadamente e leve para o fogo baixo; ,
Deixe ferver sem mexer por cerca de 15 a 20 minutos; ,
O ponto da calda é quando ela atingir 145 ºC. Faça o teste: pegue uma gosta dela, despeje em um recipiente com água em temperatura ambiente, espere formar uma bolinha, retire e jogue em um copo vazio. Se fizer um barulinho como se fosse vidro, é porque ela atingiu o ponto. Retire do fogo e deixe esfriar um pouco; ,
Banhe toda a maçã na calda e disponha em um tapete de silicone ou em uma superfície lisa untada com manteiga; ,
Deixe secar e embrulhe elas no papel celofane; ,
Agora é só servir. ", 40min
"500 gramas de amendoim,1 lata de leite condensado,2 xícaras de chá de açúcar,2 colheres de sopa de chocolate em pó,1 colher de sopa de margarina ou manteiga",https://www.receiteria.com.br/receita/pe-de-moleque-de-chocolate/,Pé-de-moleque de chocolate , 30 porções,"
Reúna todos os ingredientes; ,
Coloque, em uma panela, o amendoim com o açúcar, deixando cozinhar o açúcar por igual até derreter totalmente; ,
Adicione o leite condensado, a margarina e o chocolate. Mexa até aparecer o fundo da panela; ,
Depois de desligar o fogo misture mais um pouco; ,
Despeje em uma pedra mármore untada com margarina e espere esfriar; ,
Quando estiver morno, corte o pé-de-moleque de chocolate em pedacinhos; ,
Está pronto! Sirva e aproveite. ", 20min
